State,City,TotalPopulation,PercentMale,PercentFemale,MedianAge,PercentOver65,PercentWhite,PercentBlack,PercentHispanic,PercentAsian,MedianHouseholdIncome,MeanHouseholdIncome,MedianIncomeFemale,MedianIncomeMale,AverageHouseholdSize, AverageFamilySize ,EdElementaryPercent,EdHighSchoolPercent,EdAssociatePercent,EdBachelorsPercent,EdGraduatePercent,AvgLowTemp,AvgHighTemp,ElectionResults
CA,RanchoPalosVerdes,41575,48.3,51.7,46.3,25.2,55.8,3.7,8.1,29.1,116643,157331,67862,108727,2.72,3.1,1.1,10.5,5.6,35.6,29.9,48.3,73.6,blue
CA,RanchoSantaMargarita,47769,49.3,50.7,34.6,6.9,68,1.7,16.9,10.6,104167,120905,57382,84781,2.93,3.41,1.7,12.9,9.3,32.2,15.9,48.3,73.6,blue
CA,RedBluff,14026,47.2,52.8,33.1,18,73.4,0.8,21.2,0.9,31690,43669,30810,32050,2.42,3.16,4.7,32.5,7.6,6.2,4,48.3,73.6,blue
CA,Redding,89674,47.5,52.5,37.6,19.2,82.3,1.8,8.7,2.8,43157,57871,36507,43678,2.47,3.01,2.6,24.4,10.8,15,8.4,48.3,73.6,blue
CA,Redlands,68995,48.2,51.8,34.5,15.3,54.5,6.1,29.5,7.9,68015,90042,48818,56369,2.74,3.39,4.2,19.6,9.2,19.8,17.4,48.3,73.6,blue
CA,RedondoBeach,66397,48.4,51.6,39.2,13.1,65.6,3.8,16.2,11.3,94982,118118,64361,88274,2.33,3.02,1.6,12.2,7.6,36.3,21.2,48.3,73.6,blue
CA,RedwoodCity,76031,49.2,50.8,36.8,13.2,45.9,3.4,37.3,10.6,77111,106494,53339,70093,2.66,3.23,7.2,19.6,7.2,24.6,15.5,48.3,73.6,blue
CA,Reedley,23968,50.6,49.4,30,11.9,19.5,0.8,75.9,3,46776,58736,33661,36828,3.71,4.16,27.4,19,10.3,10.8,4.2,48.3,73.6,blue
CA,Rialto,99501,49.8,50.2,27.8,9,14.2,16.1,67.2,2.4,50452,61310,31249,35651,4.08,4.48,17.4,30.4,6.3,5.7,2.7,48.3,73.6,blue
CA,Richmond,103161,48.7,51.3,34.6,13,18.2,28.6,37.9,14.7,54554,70484,44599,45263,2.84,3.48,11.6,23.3,7.2,17,9.2,48.3,73.6,blue
CA,Ridgecrest,27587,50.1,49.9,35.1,15.8,70,7.6,14.6,4.1,59830,71106,40726,58260,2.54,3.2,2.6,21.4,11.9,17.9,7.8,48.3,73.6,blue
CA,Ripon,14021,49,51,34.1,14.5,70.7,2.5,20.7,5.4,75934,98042,50542,68241,3.12,3.43,6.3,22.2,9.7,20,9.8,48.3,73.6,blue
CA,Riverbank,22198,51.7,48.3,30.9,11,38,4.7,51.9,4.1,59779,69903,35527,44361,3.4,3.67,16.5,26.1,7.3,10.6,4.2,48.3,73.6,blue
CA,Riverside,303569,49.8,50.2,30,10.7,34.3,7.8,49.4,6.9,57555,73402,36564,42485,3.26,3.8,11.2,24.3,7.6,12.6,9.3,48.3,73.6,blue
CA,Rocklin,55713,48,52,36.2,13.6,75.8,2.6,10.5,8.2,79675,91440,48688,74233,2.66,3.19,1.4,15.9,12.1,29.2,12.5,48.3,73.6,blue
CA,RohnertPark,40741,48.1,51.9,33.4,12.7,64.3,3.1,23.3,6.6,56950,69779,42050,52577,2.52,3.18,6,23.3,11.3,16.9,7.4,48.3,73.6,blue
CA,Rosemead,53725,49.1,50.9,38.8,15.4,5.3,0.7,31.9,60.8,47964,61676,31369,32464,3.69,4.08,24.7,23.4,6.1,11.9,2.9,48.3,73.6,blue
CA,Roseville,116613,49,51,36.6,15.9,71.6,2.2,15.1,8.4,75245,88777,49725,66023,2.62,3.18,2.2,19.9,11.5,23.7,11.2,48.3,73.6,blue
CA,Sacramento,463537,48.5,51.5,33.3,13.2,35.1,16.3,26,19.1,50781,66409,41763,47308,2.6,3.38,9.8,20.7,8,19.2,10,48.3,73.6,blue
CA,Salinas,148780,50.4,49.6,28.6,9.4,16.1,2.1,75.1,6.4,50568,63006,33872,38255,3.6,3.99,29.4,22.2,6.5,9.2,3.8,48.3,73.6,blue
CA,SanBernardino,210100,49.8,50.2,28.6,9.7,20.3,16.6,58.8,4.4,40161,51561,31622,37144,3.35,3.9,14.8,28,6.8,8.6,4.1,48.3,73.6,blue
CA,SanBruno,40677,48.8,51.2,38.2,15.7,36.8,3.3,28,26.3,77468,91363,46710,52795,2.73,3.33,4.5,23.2,9.7,26.5,8.1,48.3,73.6,blue
CA,SanBuenaventura,105809,49.8,50.2,38.5,16.4,59.5,2.3,32.8,3.2,66226,81254,45168,56010,2.57,3.21,4.8,19.9,9.1,19.4,12.2,48.3,73.6,blue
CA,SanCarlos,28130,48.1,51.9,42,17.8,76.2,1.2,9,10.3,118865,149644,73825,115285,2.48,3,1,12.4,8.2,31.4,27.4,48.3,73.6,blue
CA,SanClemente,62052,48.9,51.1,39.2,16.1,76.1,1,14.8,4.6,89289,124234,48963,83623,2.62,3.14,2.1,13.5,9.5,31,15.7,48.3,73.6,blue
CA,SanDiego,1296437,50.7,49.3,33.5,13.1,45.8,7.9,28.2,15.8,63739,86305,43923,52271,2.64,3.36,7,16.5,7.4,24.7,16.3,48.3,73.6,blue
CA,SanDimas,33523,47.8,52.2,41.4,17.9,55.3,3.9,26.1,11.9,74610,92303,47597,59627,2.77,3.28,2.9,21.9,12.6,18.7,13.2,48.3,73.6,blue
CA,SanFernando,23638,49.3,50.7,28.2,10.9,7.1,1,90.7,0.9,52021,58400,28450,31270,3.79,4.21,28.9,23.4,6.2,6.1,2.7,48.3,73.6,blue
CA,SanFrancisco,797983,50.7,49.3,38.4,16.8,42,7.1,14.9,33.5,72947,105753,54845,64902,2.3,3.21,8.4,14.4,5.5,31.3,20,48.3,73.6,blue
CA,SanGabriel,39703,49.3,50.7,40.7,16.6,12,1.2,26.3,59.8,57666,77808,41157,40121,3.22,3.59,13.4,24.4,7.2,20.2,8.8,48.3,73.6,blue
CA,Sanger,23814,50.1,49.9,27.4,11.1,14.4,3.2,76.6,4.3,41987,55746,33327,36282,3.62,4.12,27.7,22.2,7.8,8.5,2.9,48.3,73.6,blue
CA,SanJacinto,42722,48.9,51.1,30,13.5,34.7,5.3,53.4,5.1,47645,56501,35809,44863,3.32,3.89,12.6,29.1,8.1,6.6,4.1,48.3,73.6,blue
CA,SanJose,939688,50.3,49.7,35,12.4,29.1,3.9,33,32.1,80764,102220,50850,62073,3.08,3.56,9.8,19,7.7,23,13.6,48.3,73.6,blue
CA,SanJuanCapistrano,34455,50.6,49.4,39.9,19.3,56.9,0.5,37.7,3.3,73806,115244,40397,57931,2.99,3.42,9.3,17.7,7.3,21.7,11.7,48.3,73.6,blue
CA,SanLeandro,83877,48.6,51.4,37.4,16.3,26.3,15.4,26,29.6,61857,75543,42748,50604,2.82,3.49,9.6,26.3,7.4,19.7,6.5,48.3,73.6,blue
CA,SanLuisObispo,45130,52.6,47.4,24.5,12.5,72.5,1.8,16.6,6.4,42528,61049,38457,51380,2.34,2.87,3.5,15.7,9.9,25.6,19.6,48.3,73.6,blue
CA,SanMarcos,80709,48.8,51.2,33.1,11.8,49.1,3.8,36.6,8.9,55815,75373,37469,51686,3.07,3.55,11,19.1,13,20.7,8.6,48.3,73.6,blue
CA,SanMarino,13131,46.3,53.7,46,21.5,39.4,0.1,6.5,51.9,154318,229394,62645,120360,2.98,3.15,1.1,6.5,5.2,36.4,37.5,48.3,73.6,blue
CA,SanMateo,95957,49.1,50.9,38.9,17.2,48,3.1,25,19.8,86772,113560,60495,65541,2.52,3.2,6.5,17.4,7.5,27,16,48.3,73.6,blue
CA,SanPablo,29224,51.7,48.3,30.9,11.2,11.5,15.4,55.8,15.9,45305,54173,32100,37090,3.31,3.89,22.2,27.8,5.8,8.9,2.8,48.3,73.6,blue
CA,SanRafael,57374,50.7,49.3,41.2,19.1,60.4,3.3,28.4,6.3,71343,100317,56733,53789,2.31,2.88,9.2,14.9,6.2,26.8,18.4,48.3,73.6,blue
CA,SanRamon,69241,49.5,50.5,36.7,9.8,47.6,2.8,9.9,35.9,124014,143315,72402,104984,2.84,3.32,1.4,10.3,7.5,38,22.8,48.3,73.6,blue
CA,SantaAna,325517,50.7,49.3,28.7,8.2,9.3,1.4,78.7,10.1,54399,68191,26965,29580,4.35,4.57,29.9,21,4.6,8.3,3.4,48.3,73.6,blue
CA,SantaBarbara,88192,49.8,50.2,35.8,16.7,54,2.8,38.4,3.8,63401,89945,41157,48317,2.47,3.13,9.4,14.2,7,24.9,17.2,48.3,73.6,blue
CA,SantaClara,114482,49.9,50.1,34.6,11.8,35.9,3.3,19.4,38.2,89004,104152,55172,84265,2.63,3.24,4.3,16.1,7.3,28.1,21.2,48.3,73.6,blue
CA,SantaClarita,173993,50.4,49.6,35.9,12.2,54.4,3.9,29.8,9,83579,97398,51115,64681,2.96,3.42,5.6,20.6,9.3,21.9,9.8,48.3,73.6,blue
CA,SantaCruz,59022,50.6,49.4,30.1,10.8,68.6,3.4,18.1,6.4,63110,84330,49029,62715,2.46,2.94,3.1,13.4,6.5,30,22.2,48.3,73.6,blue
CA,SantaFeSprings,16333,49.5,50.5,35,16.1,11.6,4,80.9,2.4,53638,62793,34101,41939,3.47,4.06,14.4,32.9,6.9,6,3.4,48.3,73.6,blue
CA,SantaMaria,96803,49.9,50.1,28.7,11.4,22.4,1.9,70.1,5.4,51664,66188,30766,32557,3.58,3.98,25.6,19.7,6.6,9.5,4.3,48.3,73.6,blue
CA,SantaMonica,89153,47.9,52.1,40,17.8,70.6,5,12.1,9.9,71400,109624,64009,79837,1.86,2.83,2.2,10.4,5.3,35.5,28.5,48.3,73.6,blue
CA,SantaPaula,29248,49.3,50.7,30.9,14.4,19.7,0.5,78.8,0.6,53359,65797,30629,36087,3.47,3.91,23.8,25,6.6,7.7,4.1,48.3,73.6,blue
CA,SantaRosa,164976,49.8,50.2,36.2,15.3,60.6,3.5,28.2,5.1,60850,77911,41817,51683,2.6,3.21,8.1,21.3,8.5,19.1,10.3,48.3,73.6,blue
CA,Santee,53302,48,52,37,13.2,74.2,3.8,16.5,3.4,69828,78854,43838,55734,2.82,3.3,3.6,26.2,10.8,13.7,6.3,48.3,73.6,blue
CA,Saratoga,29781,49.3,50.7,47.4,24.1,49.6,0.6,3,44,155182,195962,103990,149002,2.76,3.11,0.8,5.5,5.8,34.6,41.3,48.3,73.6,blue
CA,ScottsValley,11480,47.4,52.6,39.8,15.3,78.3,2.2,8.9,7.2,99076,114958,73143,92140,2.56,2.98,0.8,15.5,11.3,29,16.1,48.3,73.6,blue
CA,SealBeach,24157,44.7,55.3,58.1,43.2,77.2,0.8,10.6,9.6,50958,83013,69413,75716,1.9,2.71,2.1,17.2,9,25.3,17.2,48.3,73.6,blue
CA,Seaside,32735,51,49,30.7,10,36.1,10.8,40.3,8.5,58403,68536,36150,37756,3.13,3.51,15.3,19,8.7,11.8,8,48.3,73.6,blue
CA,Selma,22939,50.1,49.9,29.9,12.1,13.8,2.4,79.7,4.2,42459,55140,31387,32465,3.67,3.97,27.1,25.8,5.6,7.4,3.5,48.3,73.6,blue
CA,Shafter,16709,50.8,49.2,25.5,9.4,18.1,0.7,80,0.1,38591,48737,22813,32613,3.63,3.9,27.1,29.2,3,6.1,0.7,48.3,73.6,blue
CA,ShastaLake,10121,50.9,49.1,40.2,21.7,83.3,1.8,6.1,4.2,42901,52622,35565,47214,2.56,3.22,3.2,29.5,13.6,8.1,2.9,48.3,73.6,blue
CA,SierraMadre,10881,48.4,51.6,48.2,22.2,72.2,2.1,15.5,8,84487,121658,60603,87348,2.35,2.98,1.8,9.6,8.5,30,27.5,48.3,73.6,blue
CA,SignalHill,10842,50.2,49.8,37.1,12,25.5,15.6,33.3,24.1,69946,86271,52996,56143,2.6,3.27,6.8,18.7,8.9,25.4,13.4,48.3,73.6,blue
CA,SimiValley,122864,48.9,51.1,37.4,12.9,62.8,1.7,24.3,8.8,89452,104991,49203,65188,3.01,3.37,4.5,22.5,9.1,21.4,9.9,48.3,73.6,blue
CA,SolanaBeach,12864,47.7,52.3,45.2,23.1,75.9,2.7,16.8,4,85317,123503,63750,76603,2.34,2.91,3.7,11.3,6.6,33.8,23.3,48.3,73.6,blue
CA,Soledad,25548,70,30,34.7,7.3,13.5,13.3,69.4,2.7,53140,64854,34468,32541,4.09,4.19,24.6,27.2,5.1,3.3,1,48.3,73.6,blue
CA,Sonoma,10430,45.5,54.5,50.3,31.2,78.2,0.9,16.6,2.1,63262,88364,50471,72993,2.07,2.87,2.7,17.9,9.2,24.6,14.6,48.3,73.6,blue
CA,SouthElMonte,20197,51.9,48.1,30.6,9.8,3,0.2,85.7,10.7,47537,57280,22289,24043,4.48,4.56,36.1,26.2,2.6,7.5,1.9,48.3,73.6,blue
CA,SouthGate,94586,48.9,51.1,29.1,8.8,3.2,0.8,95.3,1,41990,52510,25582,31612,3.98,4.26,32.8,25.9,4.6,5.1,1.5,48.3,73.6,blue
CA,SouthLakeTahoe,21814,51.1,48.9,35.3,13.1,60.1,0.9,31.3,4.5,41685,54137,31456,31510,2.4,3.02,8.2,25.4,7.8,16.3,6.5,48.3,73.6,blue
CA,SouthPasadena,25465,47.8,52.2,38,13.2,42.8,2.8,21,30.8,84914,121968,62121,76148,2.45,3.07,1.3,8.5,7.3,34.6,29.4,48.3,73.6,blue
CA,SouthSanFrancisco,62822,49.4,50.6,37.9,16.5,22.5,3.1,33.7,35.9,75543,91238,46744,51865,2.96,3.46,8.3,22.6,10.4,23.3,7.6,48.3,73.6,blue
CA,Stanton,38141,48.6,51.4,32.7,12.5,24.1,3.2,47.7,22,51933,65374,37019,37492,3.3,3.88,18.1,25.7,6.9,13.1,3.6,48.3,73.6,blue
CA,Stockton,289926,49,51,30.5,11.9,23.3,14.3,40,21.8,47365,63047,37649,42332,3.17,3.69,14.4,24.4,8.4,11.6,5.6,48.3,73.6,blue
CA,SuisunCity,27900,51.1,48.9,33.6,11.3,26.7,23.3,25.6,19.9,71411,80316,44620,51370,3.11,3.5,6.4,24.9,10.4,16.5,4.8,48.3,73.6,blue
CA,Sunnyvale,138436,50.7,49.3,35.6,13.1,36,2.3,17.8,40.6,93292,113945,60998,89697,2.59,3.2,5,12.5,6.7,29.7,27.2,48.3,73.6,blue
CA,Susanville,17728,67.6,32.4,34.1,8.7,61,11.2,19.9,1.5,49160,59139,33149,65526,2.4,2.95,5.4,27.6,12,7.1,2.7,48.3,73.6,blue
CA,Tehachapi,14332,68.9,31.1,35.9,10.8,56.3,8.4,32.8,0.7,46250,54966,36868,51348,2.57,3.16,6.6,27.2,6.9,5.6,3.1,48.3,73.6,blue
CA,Temecula,98189,47.8,52.2,33.3,9.7,56.4,5,25.2,9.5,76276,88170,41570,63459,3.19,3.56,3.6,21.8,10.1,20,9.8,48.3,73.6,blue
CA,TempleCity,35372,48.7,51.3,40.9,17.2,24.4,0.5,17,56.8,65445,80914,41796,53340,3.12,3.52,7.7,21.5,10,23.1,12.8,48.3,73.6,blue
CA,ThousandOaks,125633,48.6,51.4,41,17.2,70.8,1.6,16,9.8,100373,126857,59306,89997,2.75,3.19,2.6,15.5,7.8,29.4,19.4,48.3,73.6,blue
CA,Torrance,144622,48.6,51.4,41.6,18.3,42,3.7,16.6,34.7,75885,92539,52189,67272,2.59,3.18,2.9,18.6,9.4,28.8,15,48.3,73.6,blue
CA,Tracy,81115,50.4,49.6,31.4,8.2,34.2,8.4,38,16,76739,90518,44982,60422,3.43,3.77,8.6,27.6,8.3,16.9,4.8,48.3,73.6,blue
CA,Tulare,58150,49.7,50.3,29.5,11.1,34.1,5.8,56.6,2.5,46274,57833,30489,38710,3.33,3.8,14.8,31.1,8.7,7.4,3.8,48.3,73.6,blue
CA,Turlock,67953,49.7,50.3,32.4,13.3,53.4,2.5,34.7,6.3,50862,64273,37778,47413,2.92,3.44,11.5,26.5,7,16,6.9,48.3,73.6,blue
CA,Tustin,74625,49.4,50.6,33.7,10.8,36.9,2.3,37.9,20.8,73231,95704,47128,52865,2.97,3.5,8.9,16.2,8.1,25.5,13.1,48.3,73.6,blue
CA,TwentyninePalms,25786,57,43,23.1,7.7,62.7,8.6,19.8,3.6,43412,56321,35441,26575,2.73,3.12,2.1,32.4,9.9,11.1,5.7,48.3,73.6,blue
CA,Ukiah,15979,51.7,48.3,33.9,16.5,63.5,3.6,27.8,2,45577,53944,37600,43250,2.49,3.17,7.2,29.3,12.3,11.2,6,48.3,73.6,blue
CA,UnionCity,68830,49.4,50.6,36.5,14.4,14,6.9,21.5,53.3,82634,96522,49888,59607,3.4,3.72,7.5,24.3,6.6,27.2,10.2,48.3,73.6,blue
CA,Upland,74021,48.2,51.8,36.1,14.2,44.6,7.1,37.8,9.3,67449,83746,42079,55317,2.9,3.41,4.6,21.9,10.5,18.3,11.4,48.3,73.6,blue
CA,Vacaville,92217,53.6,46.4,37.5,12.7,55.9,12.8,21.7,5.9,73302,88648,46626,62074,2.71,3.24,5,24.8,11,14.8,6.5,48.3,73.6,blue
CA,Vallejo,116021,47.7,52.3,38.1,15.9,25.1,24,23.3,23.9,62325,76617,44752,50649,2.83,3.46,7,23.9,10.5,17.8,6.6,48.3,73.6,blue
CA,Victorville,111704,50.4,49.6,28.8,9.5,30.7,17.1,47.5,4.5,52357,59946,34082,46131,3.47,3.84,8.8,28.8,8.6,8,3.2,48.3,73.6,blue
CA,Visalia,121882,49.2,50.8,31.3,12.8,46.5,3.1,44.1,5.4,54019,69680,35425,48367,3.01,3.52,10.4,23.6,10.3,13,7.1,48.3,73.6,blue
CA,Vista,93293,49.5,50.5,31.6,11.3,43.1,3.6,47.3,4,50777,64719,32674,38089,3.12,3.6,14.9,22.2,10.4,13.9,5.8,48.3,73.6,blue
CA,Walnut,29269,49.8,50.2,42.1,16.5,13.1,3.6,17.6,64.8,101358,116161,52301,61625,3.54,3.71,3.1,15.1,11.5,32.7,16.8,48.3,73.6,blue
CA,WalnutCreek,64168,45.5,54.5,48.1,30.2,73,2.9,10.2,12,84722,111279,67355,93870,2.1,2.8,1.6,11.6,6.6,36.2,24.1,48.3,73.6,blue
CA,Wasco,25457,63.1,36.9,29,7.3,15.2,9.6,74,1.4,40295,49476,26005,33705,3.75,4.07,23.3,30.7,3,3,1.4,48.3,73.6,blue
CA,Watsonville,50291,49.2,50.8,29.6,11.6,14.7,0.4,80.1,3.6,46073,57891,31155,31758,3.61,4.02,35.3,20.9,4.3,7,3.1,48.3,73.6,blue
CA,WestCovina,105810,46.9,53.1,35.8,15,15.6,5.9,53.6,24.8,68308,82685,41142,50010,3.35,3.75,8.3,22.8,8.6,19.5,7.3,48.3,73.6,blue
CA,WestHollywood,34564,56,44,40.5,17.9,77.3,3.4,12.8,4.7,52303,79281,51806,68120,1.52,2.56,2.7,13.7,6.2,37.9,17.5,48.3,73.6,blue
CA,Westminster,89440,49.8,50.2,38.4,17.3,27.4,1,22.3,47.2,56867,73451,34933,43659,3.28,3.69,12.6,24.5,9,15.3,4.7,48.3,73.6,blue
CA,WestSacramento,47278,48,52,32.3,11.8,48,7.6,32.9,8.4,54040,67077,45678,50542,2.76,3.36,9.8,22.6,10.1,17.6,7.2,48.3,73.6,blue
CA,Whittier,85161,49.2,50.8,34.6,13.8,27.3,1.4,66.2,3.5,68055,84047,41277,48902,3.05,3.54,7.6,24.3,8.1,14.6,8.7,48.3,73.6,blue
CA,Wildomar,31452,50.7,49.3,32.3,11.9,53,4.2,37.7,3.6,63519,77771,36662,55195,3.29,3.62,5.7,28.8,9.9,11.6,5.2,48.3,73.6,blue
CA,Woodland,55229,49.6,50.4,34.6,14.3,44.9,1.9,44.8,6.5,56859,72832,39233,47529,2.79,3.36,10.7,23.2,8,15.8,8.3,48.3,73.6,blue
CA,YorbaLinda,63578,49.7,50.3,41.3,15,65,1.9,14.5,15.5,115291,145646,61931,84792,2.97,3.31,1.9,13.3,9.9,28.8,18.1,48.3,73.6,blue
CA,YubaCity,64224,49.6,50.4,33.3,14.7,47.1,3.9,28.5,17.3,48830,61930,36059,42721,2.93,3.46,12.2,23.7,9.6,13.4,5.7,48.3,73.6,blue
CA,Yucaipa,50862,50.8,49.2,36.2,15.2,66.2,3.5,26.3,2.5,59596,77330,43085,54632,2.92,3.42,5.1,26.5,9.6,13.3,8.5,48.3,73.6,blue
CO,Arvada,105768,48.5,51.5,40.1,16.3,83.1,1.1,12.5,2,67302,78922,43464,54997,2.49,3.04,1.8,25.5,8,22.9,10.7,36.4,65,blue
CO,Aurora,320166,49.3,50.7,33.2,11.4,48.4,17.2,28.1,4.7,50468,62548,37559,41970,2.63,3.28,7,26.5,8.8,18.8,7.4,36.4,65,blue
CO,Boulder,97565,51,49,28.6,11,83.5,1.5,8.6,4.4,54051,86920,47976,61710,2.17,2.78,2.6,7.3,4.1,35.2,35.1,36.4,65,blue
CO,Brighton,32377,49.9,50.1,32.4,10.4,54.1,2.6,41.2,1.2,64585,71490,34970,52086,2.95,3.48,7.8,32,6.5,12.4,5.4,36.4,65,blue
CO,Broomfield,54592,49.5,50.5,36.6,11.5,79.5,1.6,11,5.5,76531,94543,46704,66704,2.62,3.25,2.3,17.6,9.1,29.7,15.9,36.4,65,blue
CO,Ca�onCity,16567,57.4,42.6,42.4,21.5,78,5.4,11.7,1.1,33966,48683,30117,39539,1.93,2.5,7.1,32.5,7.4,12.6,6.6,36.4,65,blue
CO,Centennial,100643,49.2,50.8,40.5,14.4,82.2,3.8,7.7,4.3,88474,107827,50786,69406,2.66,3.07,1.4,14.9,6.4,34,19.3,36.4,65,blue
CO,ColoradoSprings,410688,49,51,35,13.5,71.3,8.2,15.9,2.7,53747,70937,36224,49435,2.46,3.08,2.7,21.7,9.7,22.1,14,36.4,65,blue
CO,CommerceCity,43539,50.3,49.7,29.7,7.6,44.3,4,48,2.5,60045,68090,39669,47894,3.17,3.59,11.7,26.9,8.4,14.3,5.5,36.4,65,blue
CO,Denver,590507,50.1,49.9,33.7,13,52,11.3,31.9,3.4,47499,71297,41299,45983,2.24,3.17,7.3,19.8,5.2,25,16.3,36.4,65,blue
CO,Durango,16722,49.7,50.3,30.1,10.6,80.4,1.3,10,0.5,53674,70331,35435,42721,2.19,2.77,2.2,14.6,6.6,33,17.6,36.4,65,blue
CO,Englewood,30433,48.5,51.5,36.9,15.6,73.8,3.1,19.2,2.4,43962,55246,39850,39871,2.08,2.86,4.1,27.8,7.3,20.1,9.9,36.4,65,blue
CO,Evans,17875,49.2,50.8,26.9,8.9,52.7,1.1,43.7,0.9,46238,55644,35642,41881,2.9,3.48,11.5,27.1,10.7,15,3.1,36.4,65,blue
CO,FederalHeights,11592,51,49,31.9,14.6,45.6,1.4,46.2,4.7,35940,43071,27593,37039,2.54,3.17,11.4,32.6,5.1,6.6,2,36.4,65,blue
CO,FortCollins,142332,49.8,50.2,29.1,10.6,83.2,2,9.9,2.7,51446,69177,38946,50377,2.39,3.02,1.5,14.4,8.1,31.2,20.3,36.4,65,blue
CO,FortMorgan,11295,49,51,34.6,16.6,48.7,6.9,43,0.2,41375,48418,25208,38374,2.56,3.22,15.1,33.2,8.4,9.1,4.5,36.4,65,blue
CO,Fountain,24724,49.7,50.3,28.5,7.1,65.9,11.8,16.3,2.5,56643,62826,37402,45017,2.94,3.33,1.8,29.6,13.5,13.8,7.6,36.4,65,blue
CO,Fruita,12128,51.6,48.4,35.9,16.2,86.1,0.4,11.5,0.5,60682,72348,36052,51172,2.57,2.93,4.3,27.6,9.4,17.7,8,36.4,65,blue
CO,Golden,18630,56.5,43.5,34.2,12.4,85.3,2.9,6.6,2.7,56926,81048,47338,56236,2.17,2.85,1.3,15.7,6.7,28.7,22,36.4,65,blue
CO,GrandJunction,57479,49.4,50.6,37.2,18.2,82.9,1.6,12.9,1.1,48257,64234,36824,47201,2.25,2.82,3.3,26,9.8,20.2,10.4,36.4,65,blue
CO,Greeley,92288,49.4,50.6,30.4,12.5,59.3,1.8,36.1,1.6,43466,57997,34919,39251,2.62,3.2,9,24.7,8.2,17.5,8.9,36.4,65,blue
CO,Greenwood,13638,51.7,48.3,45.5,18.3,87.3,0.5,4.7,5.6,116071,192067,61897,102944,2.42,2.94,0.5,8.9,4.3,38.2,31.4,36.4,65,blue
CO,Lafayette,24398,50.6,49.4,37.1,10.8,70,3.6,18.9,6.2,69840,90601,47352,57465,2.5,3.06,4.8,15.2,6.1,31.7,19.6,36.4,65,blue
CO,Lakewood,142732,50,50,39,17.9,72,2.7,20.7,3.1,54918,70702,42182,48601,2.23,2.89,3,24.2,7.3,23.5,12.3,36.4,65,blue
CO,Littleton,41683,47.6,52.4,41.4,18.7,80.7,1.9,12.7,2.7,57329,78791,41431,54859,2.27,2.94,3,18.1,8,28.6,14.3,36.4,65,blue
CO,LoneTree,10457,48.1,51.9,38.3,11.3,80.3,2.8,6.5,8.2,100250,143543,53147,80341,2.54,3.09,0.2,14.1,6.7,36.3,23.2,36.4,65,blue
CO,Longmont,85116,49.1,50.9,35.2,13.2,69.2,1.3,24.7,2.6,56278,73885,39200,52171,2.59,3.16,5.5,20.8,7.2,24.2,13.6,36.4,65,blue
CO,Louisville,18495,49.4,50.6,39.2,11.3,87.9,1.7,4.8,3.7,83682,104314,49708,77963,2.43,3,0.7,10.4,4.5,36.9,30.2,36.4,65,blue
CO,Loveland,65609,47.8,52.2,37.1,17.1,85,1.3,11.2,1.4,54763,67688,35933,47285,2.4,2.93,2.9,25.2,9.1,22.2,10.9,36.4,65,blue
CO,Montrose,18644,48.6,51.4,38.9,22.1,72.2,0.9,25.4,0.5,45620,52572,36711,42012,2.42,3,8.6,31.2,6.1,13.7,8.7,36.4,65,blue
CO,Northglenn,35588,48.9,51.1,32.5,12.6,60,2,31.9,4,52188,61319,37915,41620,2.73,3.4,5.3,36.2,7.4,12.3,4.8,36.4,65,blue
CO,Pueblo,106601,48.6,51.4,37.5,18.8,45.9,3.3,49.2,0.8,34750,48112,30748,37833,2.38,3.05,5.8,29.5,9.8,12.4,6.6,36.4,65,blue
CO,SteamboatSprings,11926,53.1,46.9,37.2,12.8,91.1,0.2,7.3,1,64825,89189,37778,43234,2.24,2.63,0.7,9,8.1,44.1,17.1,36.4,65,blue
CO,Sterling,14533,54.3,45.7,34.8,16.3,76.6,2,20.7,0.4,37791,49556,27404,35061,2.61,3.32,7.6,33.3,9.2,7.7,6.1,36.4,65,blue
CO,Thornton,115683,49.6,50.4,31.7,8.4,61.9,2.4,29.7,4.2,66827,75880,41006,51254,2.91,3.4,4.1,27.8,9.1,18.9,7.6,36.4,65,blue
CO,Westminster,105801,48.9,51.1,34.5,11.1,69.2,2.6,21.2,5.5,64076,77489,41848,52549,2.58,3.18,3.7,23.8,9.2,22.4,10.8,36.4,65,blue
CO,WheatRidge,30365,49.1,50.9,42.2,21.3,72.2,1.4,22.8,2.1,48777,62327,36609,46657,2.15,2.79,3.1,27.4,8.5,19.5,8.9,36.4,65,blue
CT,Ansonia,19193,49.3,50.7,39.3,15.9,72,11.7,13.8,2.5,55250,63329,36508,50650,2.53,3.12,5.4,36.8,7.5,12.3,6.5,44.5,60.2,blue
CT,Bridgeport,143412,48.3,51.7,32.6,12.8,24.2,35.9,36.7,3.6,40947,53158,35892,39913,2.73,3.48,12.7,33.7,6,9.9,5.3,44.5,60.2,blue
CT,Bristol,60473,48.8,51.2,40.2,17.6,83.8,5.1,9.5,1.9,60032,71172,43946,52627,2.38,2.99,4.9,38.4,7.9,14.2,7.6,44.5,60.2,blue
CT,Danbury,80101,48.6,51.4,36.4,14.4,58.7,8.7,25.1,6,65656,80770,39989,49847,2.61,3.2,8.9,30.4,5.9,17.9,12.1,44.5,60.2,blue
